id,title,start_time,location,description,image_url,event_link,tags,is_starred
1,"tiat salon #11","2025-05-04 19:00:00.000000","300 Funston Ave, San Francisco, CA 94118","​come see a lineup of demos at the intersection of art & technology! talks will be short, 5 minutes each and are personal projects - no startups/companies :^)","https://images.lumacdn.com/cdn-cgi/image/format=auto,fit=cover,dpr=2,background=white,quality=75,width=400,height=400/event-covers/6p/11c559e5-9d16-4a7f-b184-e6cff4b5e673.png",https://lu.ma/w2xi3u4p,"generative,hardware,internet,projection,installation,XR,sound,AI / ML,speculative,data,fabrication",0
2,"fidget camp final showcase","2025-06-28 17:00:00.000000",tbd,"Final showcase for ​Fidget Camp! 

Fidget Camp is a week-long make-athon in San Francisco for creative exploration, featuring hands-on workshops (led by our campers!), community events, access to well-equipped workspace, and a final showcase of projects to the public.

",https://i.postimg.cc/pdW0zLCq/fc-ezgif-com-optimize.gif,https://lu.ma/lli64tww,"generative,hardware,internet,projection,installation,XR,sound,AI / ML,speculative,data,fabrication",0
